,titles,category
0,[뉴스앤이슈] 강서구청장 재보궐 선거 D-DAY...국민의힘·민주당 누가 웃을까?,Politics
1,"송영길 ""100번 넘는 압수수색…더는 당하지 않겠다"" 규탄 농성 선전포고",Politics
2,"신원식 ""대화력전 전면 재검토… 단시간 내 적 장사정포 궤멸시켜야""",Politics
3,"與 ""``개표조작 불가` 선관위 헛말, 민주당 대역 음모냐…선거제 바꿔야 할수도""",Politics
4,"박민식 ""정율성 기념사업 즉각 중단 안하면 시정명령 발동""(종합)",Politics
5,‘자객 공천론’ 하태경… “마포을 정청래 잡으란 얘기 많아”,Politics
6,‘미니총선’ 두 자릿수 득표차땐… 여야 당 대표 둘 중 하나는 ‘치명상’,Politics
7,"국힘 ""민주당 정권 '선관위 해킹' 방치…발본색원해야""",Politics
8,이스라엘서 돌아온 여행객들 “무사귀국 다행… 교민들은 무서워서 집 밖 못 나와”,Politics
9,"민주당 “법무부, 인사정보관리단 검증 부실”…한동훈 “대개 비슷한 문제 나와”",Politics
10,"국방장관 ""대화력전 전면 재검토…단시간 내 北 장사정포 궤멸시켜야""",Politics
11,"尹, 신원식·유인촌 임명장 수여… 김행은 여전히 고심 중",Politics
12,민주당 “마리 앙투아네트 ‘빵 대신 케이크 상황 오버랩”···대통령 순방 예산 증가 비판,Politics
13,[무등의 아침] 이준석 “보궐선거는 尹 정부 2년 차 평가…김태우 후보 당선보다 득표율이 관심”,Politics
14,"민주당 ""외국여행 좋아하는 尹…578억 기네스북감 혈세 낭비""",Politics
15,[뉴스포커스] 오늘 강서구청장 선거…국정감사 첫날부터 신경전,Politics
16,"野 장경태 ""소셜뉴스 최대주주는 김행 딸…부당한 재산상속""",Politics
17,지상전 임박...이·팔 전쟁 사망자 2100명 넘어,Politics
18,"이준석 맹공에...김병민 ""사색이 됐던 것 기억해"" [Y녹취록]",Politics
19,이원욱 “강서 표 차이 많이 날 것 같다…페니실린 주사 격”,Politics
20,민주 “국민 민심 강서구에 모여…오만한 권력에 경고 보내달라”,Politics
21,"'선관위 해킹 가능성'에 與 ""손으로 개표해야"" 野 ""국정원의 선거개입""",Politics
